0,Bank Change,,
1,Mod Wheel,,
3,WavMod 1,,
5,Glide,,
7,Main Volume,,
9,Voice Mode,,
11,Expression Pedal,,
12,Distortion,,
13,WavMod 2,,
14,Osc1 Tune,,
15,Osc1 Fine,,
16,Osc1 Shape,,
17,Osc2 Shape,,
18,Osc Mix,,
19,OscMod,,
20,Spread,,
21,OscMod Mode,,
22,FEG Attack,,
23,FEG Decay,,
24,FEG Sustain,,
25,FEG Release,,
26,AEG Attack,,
27,AEG Decay,,
28,AEG Sustain,,
29,AEG Release,,
30,Osc2 Tune,,
31,Osc2 Fine,,
32,FEG Amount,,
33,Morph,,
34,Cutoff,,
35,Resonance,,
36,LFO1 Rate,,
37,LFO1 Depth,,
39,LFO1 Shape,,
40,Octave,,
42,Filter Type,,
43,MEG Attack,,
44,MEG Decay,,
45,MEG Sustain,,
46,MEG Release,,
47,LFO2 Rate,,
48,LFO2 Depth,,
49,MEG Depth,,
50,LFO2 Shape,,
51,AEG Depth,,
52,LFO1 MIDI Sync,,
53,Arp Gate,,
54,LFO2 MIDI Sync,,
55,Delay MIDI Sync,,
56,LFO1 Mode,,
57,LFO2 Mode,,
58,Arp Status,,
59,Arp Octave,,
60,Arp Direction,,
61,Arp Division,,
62,Osc1 Bank,,
63,Osc2 Bank,,
64,Sustain Pedal,,
67,Seq Length,,
68,Seq Mute,,
69,Seq Clear,,
70,Seq Hold,,
71,Seq Loop,,
72,Seq Record,,
73,FX Amount,,
75,Transpose,,
78,Swing,,
79,Seq Quantise,,
83,Audio In,,
84,All EG Attack,,
85,All EG Decay,,
86,All EG Sustain,,
87,All EG Release,,
88,ModSlot 1 Depth,,
89,ModSlot 2 Depth,,
90,ModSlot 3 Depth,,
91,ModSlot 4 Depth,,
92,ModSlot 5 Depth,,
93,ModSlot 6 Depth,,
94,ModSlot 7 Depth,,
95,ModSlot 8 Depth,,
96,Chord Mode,,
100,ModSlot 1 Source,,
101,ModSlot 2 Source,,
102,ModSlot 3 Source,,
103,ModSlot 4 Source,,
104,ModSlot 5 Source,,
105,ModSlot 6 Source,,
106,ModSlot 7 Source,,
107,ModSlot 8 Source,,
108,ModSlot 1 Dest,,
109,ModSlot 2 Dest,,
110,ModSlot 3 Dest,,
111,ModSlot 4 Dest,,
112,ModSlot 5 Dest,,
113,ModSlot 6 Dest,,
114,ModSlot 7 Dest,,
115,ModSlot 8 Dest,,
116,Joystick X+,,
117,Joystick X-,,
118,Joystick Y,,
119,Patch Gain,,
121,Randomise Patch,,
