1,MODULATION,0,127
3,LFO RATE,0,127
5,PORTAMENTO TIME,0,127
9,LFO DELAY,,
11,EXPRESSION PEDAL,,
12,DCO RANGE,,
13,DCO LFO,,
14,DCO PWM,,
15,DCO LFO/MAN/ENV,,
16,DCO SQR SW,,
17,DCO SAW SW,,
18,DCO SUB,,
19,DCO NOISE,,
20,HPF FREQ,,
21,VCF ENV Polarity,,
22,VCF ENV,,
23,VCF LFO,,
24,VCF KYBD,,
25,VCA ENV/GATE,,
26,VCA LEVEL,,
27,ENV S,,
28,DCO SUB SW,,
29,LFO WAVE,,
30,LFO TRIG,,
64,HOLD,,
65,PORTAMENTO SW,,
71,VCF RES,,
72,ENV R,,
73,ENV A,,
74,VCF FREQ,,
75,ENV D,,
82,DELAY TIME,,
83,DELAY FEEDBACK,,
86,POLY / SOLO / UNISON,,
87,BEND RANGE,,
88,TEMPO SYNC,,
89,DELAY SW,,
91,DELAY LEVEL,,
93,CHORUS OFF I/II/I+II,,
